"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20260808","일산선","대곡","7934","7745","20260811"
"20260808","과천선","대공원","3004","3023","20260811"
"20260808","2호선","대림(구로구청)","17711","18388","20260811"
"20260808","7호선","대림(구로구청)","8239","8609","20260811"
"20260808","분당선","대모산입구","4168","3807","20260811"
"20260808","경부선","대방","6140","6913","20260811"
"20260808","신림선","대방","2834","1939","20260811"
"20260808","경춘선","대성리","909","1048","20260811"
"20260808","안산선","대야미","3979","3364","20260811"
"20260808","3호선","대청","6093","5761","20260811"
"20260808","3호선","대치","11614","9871","20260811"
"20260808","일산선","대화","7037","6219","20260811"
"20260808","6호선","대흥(서강대앞)","6485","6601","20260811"
"20260808","경원선","덕계","4849","4481","20260811"
"20260808","중앙선","덕소","4266","4327","20260811"
"20260808","경원선","덕정","4425","4057","20260811"
"20260808","분당선","도곡","4947","4621","20260811"
"20260808","3호선","도곡","3801","3559","20260811"
"20260808","중앙선","도농","6026","5671","20260811"
"20260808","2호선","도림천","875","862","20260811"
"20260808","경원선","도봉","4174","3977","20260811"
"20260808","7호선","도봉산","5936","7936","20260811"
"20260808","경원선","도봉산","7311","4819","20260811"
"20260808","중앙선","도심","1845","1498","20260811"
"20260808","경인선","도원","1843","1943","20260811"
"20260808","경인선","도화","2813","2530","20260811"
"20260808","3호선","독립문","5977","5941","20260811"
"20260808","6호선","독바위","1925","2033","20260811"
"20260808","경부선","독산","8378","7846","20260811"
"20260808","6호선","돌곶이","7598","6897","20260811"
"20260808","1호선","동대문","12382","12085","20260811"
"20260808","4호선","동대문","15771","16153","20260811"
"20260808","4호선","동대문역사문화공원(DDP)","19441","16798","20260811"
"20260808","5호선","동대문역사문화공원(DDP)","1607","1883","20260811"
"20260808","2호선","동대문역사문화공원(DDP)","15118","17401","20260811"
"20260808","3호선","동대입구","7691","8137","20260811"
"20260808","경원선","동두천","1451","1380","20260811"
"20260808","경원선","동두천중앙","2406","2478","20260811"
"20260808","1호선","동묘앞","11035","11307","20260811"
"20260808","6호선","동묘앞","9967","9941","20260811"
"20260808","경인선","동암","11840","11897","20260811"
"20260808","경인선","동인천","10897","10588","20260811"
"20260808","9호선","동작(현충원)","1312","1246","20260811"
"20260808","4호선","동작(현충원)","1273","1365","20260811"
"20260808","경부선","두정","6655","6716","20260811"
"20260808","5호선","둔촌동","9748","9636","20260811"
"20260808","9호선2~3단계","둔촌오륜","2903","2852","20260811"
"20260808","9호선","등촌","8215","7987","20260811"
"20260808","6호선","디지털미디어시티","7779","7872","20260811"
"20260808","경의선","디지털미디어시티","1989","1916","20260811"
"20260808","공항철도 1호선","디지털미디어시티","7670","7156","20260811"
"20260808","2호선","뚝섬","16353","16877","20260811"
"20260808","5호선","마곡","11158","11016","20260811"
"20260808","9호선","마곡나루(서울식물원)","10899","10388","20260811"
"20260808","공항철도 1호선","마곡나루(서울식물원)","7254","7734","20260811"
"20260808","일산선","마두","5057","5107","20260811"
"20260808","7호선","마들","9633","9090","20260811"
"20260808","경춘선","마석","3185","3317","20260811"
"20260808","5호선","마장","4142","3747","20260811"
"20260808","5호선","마천","4452","4199","20260811"
"20260808","5호선","마포","8363","8553","20260811"
"20260808","6호선","마포구청","9821","8893","20260811"
"20260808","중앙선","망우","6312","6163","20260811"
"20260808","6호선","망원","14336","15779","20260811"
"20260808","경원선","망월사","5482","5643","20260811"
"20260808","분당선","망포","9410","8690","20260811"
"20260808","분당선","매교","3323","3310","20260811"
"20260808","3호선","매봉","6593","6369","20260811"
"20260808","분당선","매탄권선","3570","3346","20260811"
"20260808","7호선","먹골","8136","7769","20260811"
"20260808","7호선","면목","10231","9786","20260811"
"20260808","4호선","명동","34828","37889","20260811"
"20260808","5호선","명일","5687","5548","20260811"
"20260808","경부선","명학","3979","3708","20260811"
"20260808","8호선","모란","4119","3548","20260811"
"20260808","분당선","모란","15335","16009","20260811"
"20260808","5호선","목동","10823","11074","20260811"
"20260808","8호선","몽촌토성(평화의문)","6321","6421","20260811"
"20260808","3호선","무악재","2851","2776","20260811"
"20260808","2호선","문래","13402","14657","20260811"
"20260808","경의선","문산","6015","5346","20260811"
"20260808","8호선","문정","9332","9344","20260811"
"20260808","분당선","미금","9942","10352","20260811"
"20260808","5호선","미사","14125","13984","20260811"
"20260808","4호선","미아(서울사이버대학)","11914","11076","20260811"
"20260808","4호선","미아사거리","20812","20077","20260811"
"20260808","안산선","반월","3190","3071","20260811"
"20260808","7호선","반포","5409","5093","20260811"
"20260808","5호선","발산","16158","17407","20260811"
"20260808","2호선","방배","9517","9596","20260811"
"20260808","5호선","방이","6437","6202","20260811"
"20260808","경원선","방학","7335","7158","20260811"
"20260808","5호선","방화","5140","4899","20260811"
"20260808","장항선","배방","1076","1041","20260811"
"20260808","경의선","백마","4640","4253","20260811"
"20260808","일산선","백석","7510","7711","20260811"
"20260808","경춘선","백양리","163","172","20260811"
